latitude,longitude,elevation,time
41.279074,-96.157908,353.9,2024-11-16T17:38:56
41.28232,-96.157932,376.2,2024-11-16T17:41:45
41.2601,-96.150531,360.6,2024-11-16T17:16:52
41.301598,-96.167,381.6,2024-11-16T16:14:13
41.274111,-96.170117,339,2024-11-16T16:43:28
41.288489,-96.159563,377.3,2024-11-16T16:31:23
41.290999,-96.157966,380.3,2024-11-16T17:47:01
41.253125,-96.153218,350.4,2024-11-16T17:11:19
41.274739,-96.169675,339.4,2024-11-16T16:43:04
41.297483,-96.160353,376.4,2024-11-16T16:19:37
41.277117,-96.157851,350,2024-11-16T17:37:43
41.273835,-96.170283,339.3,2024-11-16T16:43:38
41.293851,-96.157974,373,2024-11-16T17:49:17
41.248655,-96.155523,343,2024-11-16T17:07:46
41.300846,-96.159428,360.7,2024-11-16T17:53:37
41.29347,-96.157901,373,2024-11-16T17:48:30
41.264135,-96.153161,381.9,2024-11-16T17:22:52
41.300893,-96.162042,374,2024-11-16T17:54:53
41.271588,-96.171261,338.4,2024-11-16T16:45:04
41.24866,-96.155317,342.6,2024-11-16T17:07:50
41.282743,-96.163473,348.7,2024-11-16T16:35:59
41.278957,-96.157924,353.1,2024-11-16T17:38:47
41.276918,-96.168036,340.7,2024-11-16T16:41:26
41.269494,-96.157882,376.9,2024-11-16T17:33:35
41.268672,-96.173602,337.9,2024-11-16T16:47:31
41.300915,-96.162084,374,2024-11-16T17:54:54
41.302353,-96.16683,378.7,2024-11-16T16:13:47
41.297681,-96.16139,377.7,2024-11-16T16:19:07
41.296921,-96.158278,368.1,2024-11-16T16:21:12
41.265615,-96.157411,368,2024-11-16T17:31:10
41.250393,-96.165277,334.7,2024-11-16T17:02:19
41.263581,-96.172803,337.1,2024-11-16T16:51:09
41.255191,-96.170575,335.9,2024-11-16T16:57:01
41.279452,-96.16491,341.4,2024-11-16T16:38:56
41.268944,-96.17331,338.2,2024-11-16T16:47:09
41.298635,-96.158323,369.2,2024-11-16T17:51:57
41.290474,-96.158341,381,2024-11-16T16:26:06
41.294425,-96.158303,373.4,2024-11-16T16:22:43
41.248638,-96.162574,343.3,2024-11-16T17:04:17
41.299297,-96.158355,369.3,2024-11-16T17:52:20
41.28652,-96.157929,382.9,2024-11-16T17:44:20
41.30085,-96.161832,373.7,2024-11-16T17:54:46
41.297506,-96.160164,376.1,2024-11-16T16:19:42
41.289141,-96.159055,380.7,2024-11-16T16:30:20
41.275557,-96.169097,339.8,2024-11-16T16:42:33
41.299383,-96.163359,374.5,2024-11-16T16:17:15
41.289623,-96.158041,382.1,2024-11-16T17:46:14
41.298017,-96.162454,378.5,2024-11-16T16:18:31
41.288057,-96.161392,368.1,2024-11-16T16:32:17
41.276168,-96.168647,339.8,2024-11-16T16:42:10
41.283779,-96.162613,354.3,2024-11-16T16:35:18
41.278332,-96.166779,340.1,2024-11-16T16:40:02
41.265432,-96.156107,370.7,2024-11-16T17:30:40
41.290569,-96.158339,380.8,2024-11-16T16:26:02
41.257421,-96.151547,354.6,2024-11-16T17:14:57
41.254058,-96.169739,338.2,2024-11-16T16:58:12
41.278949,-96.157927,353.1,2024-11-16T17:38:46
41.258755,-96.170935,336.5,2024-11-16T16:54:36
41.262605,-96.172595,336.9,2024-11-16T16:51:45
41.258396,-96.151152,356.3,2024-11-16T17:15:36
41.289037,-96.15846,382.1,2024-11-16T16:30:37
41.293754,-96.157933,373,2024-11-16T17:49:13
41.254631,-96.170178,336.4,2024-11-16T16:57:24
41.257436,-96.171115,335.9,2024-11-16T16:55:38
41.293768,-96.157881,373,2024-11-16T17:48:41
41.295284,-96.157977,372.1,2024-11-16T17:50:03
41.301656,-96.166989,381.4,2024-11-16T16:14:11
41.26353,-96.155086,373.6,2024-11-16T17:23:56
41.290804,-96.157991,380.9,2024-11-16T17:46:56
41.249494,-96.164395,335.9,2024-11-16T17:03:04
41.277126,-96.167751,341.1,2024-11-16T16:41:05
41.299042,-96.158325,369.3,2024-11-16T17:52:11
41.279115,-96.166095,340.9,2024-11-16T16:39:29
41.276489,-96.157864,353,2024-11-16T17:37:23
41.298346,-96.162886,378.5,2024-11-16T16:18:08
41.299387,-96.16317,375.2,2024-11-16T16:17:20
41.284227,-96.162254,356.7,2024-11-16T16:34:54
41.258758,-96.150967,357,2024-11-16T17:15:49
41.255334,-96.152384,350.8,2024-11-16T17:12:59
41.255225,-96.152429,350.5,2024-11-16T17:12:55
41.289037,-96.158545,381.9,2024-11-16T16:30:35
41.248671,-96.154994,342.2,2024-11-16T17:07:59
41.255794,-96.15227,351.5,2024-11-16T17:13:14
41.289337,-96.158909,380.5,2024-11-16T16:27:11
41.272498,-96.157947,367.9,2024-11-16T17:35:13
41.257924,-96.151259,355.5,2024-11-16T17:15:16
41.252672,-96.153622,349.6,2024-11-16T17:10:54
41.26408,-96.149551,381.2,2024-11-16T17:20:45
41.248689,-96.161246,345.3,2024-11-16T17:05:00
41.263477,-96.154858,373.7,2024-11-16T17:23:50
41.277236,-96.167763,341,2024-11-16T16:40:56
41.294175,-96.157983,372.9,2024-11-16T17:49:30
41.288498,-96.159677,376.8,2024-11-16T16:31:26
41.278486,-96.157911,350.1,2024-11-16T17:38:26
41.265063,-96.173986,337.2,2024-11-16T16:49:50
41.263701,-96.148725,382.4,2024-11-16T17:20:14
41.250198,-96.165158,334.8,2024-11-16T17:02:30
41.249983,-96.164972,334.9,2024-11-16T17:02:40
41.298809,-96.162846,378.5,2024-11-16T16:17:48
41.252124,-96.168277,334.9,2024-11-16T16:59:40
41.254295,-96.169904,337.2,2024-11-16T16:57:51
41.256292,-96.171195,335.6,2024-11-16T16:56:19
41.261936,-96.148659,375.2,2024-11-16T17:18:45
41.26429,-96.150912,384.5,2024-11-16T17:21:29
